id,name,latitude,longitude
266,Ain Beida,7.39278,35.79639,
267,Ain Bessem,3.67319,36.29333,
268,Ain Defla,1.9679,36.26405,
269,Ain el Bya,-0.30178,35.80389,
270,Ain Fakroun,6.87374,35.97108,
271,Ain Kercha,6.69528,35.92472,
272,Ain Oussera,2.90583,35.45139,
273,Ain Sefra,-0.58333,32.75,
274,Ain Smara,6.50135,36.2674,
275,Ain Sukhna,32.31671,29.60018,
276,Ain Taya,3.28694,36.79333,
277,Ain Temouchent,-1.14037,35.29749,
278,Ain Touta,5.90001,35.37675,
279,Aioi,134.46806,34.80361,
280,Airdrie,-114.03528,51.30011,
281,Airdrie,-3.98025,55.86602,
282,Airoli,72.99625,19.15096,
283,Aistala,88.58,23.18,
284,Aiud,23.72128,46.31006,
285,Aix-en-Provence,5.44973,43.5283,
286,Aix-les-Bains,5.90863,45.69173,
287,Aizawl,92.71791,23.72894,
288,Aja,31.29039,30.94162,
289,Ajaccio,8.73462,41.92723,
290,Ajalpan,-97.25867,18.37908,
291,Ajaokuta,6.65497,7.56229,
292,Ajax,-79.03288,43.85012,
293,Ajdabiya,20.22625,30.75545,
294,Ajka,17.55892,47.10196,
295,Ajman,55.43504,25.41111,
296,Ajmer,74.63867,26.4521,
297,Ajnala,74.76295,31.84473,
298,Ajodhya,82.2047,26.79909,
299,Ajra,74.21097,16.11601,
300,Akademgorodok,83.106,54.8523,
301,Akademicheskoe,30.39471,60.01375,
302,Akalkot,76.20611,17.52532,
303,Akaltara,82.42641,22.02463,
304,Akashi,134.98333,34.63333,
305,Akbarabad,52.7793,29.2464,
306,Akbarpur,82.53431,26.42953,
307,Akbarpur,79.94926,26.38371,
308,Akbou,4.53494,36.4575,
309,Akcaabat,39.57146,41.02121,
310,Akcakale,38.9475,36.71111,
311,Akcakoca,31.11623,41.08663,
312,Akdagmadeni,35.88361,39.66028,
313,Akersberga,18.29967,59.47944,
314,Aketi,23.78326,2.73877,
315,Akhaltsikhe,42.98262,41.63901,
316,Akhisar,27.84006,38.91852,
317,Akhmim,31.74503,26.56217,
318,Akhtubinsk,46.17217,48.27955,
319,Akhtyrskiy,38.3031,44.8546,
320,Aki,133.9,33.5,
321,Akim Oda,-0.98577,5.92665,
322,Akita,140.11667,39.71667,
323,Akita,140.1,39.71667,
324,Akividu,81.38112,16.58225,
325,Akkarampalle,79.42,13.65,
326,Aklera,76.56719,24.41288,
327,Akola,76.9981,20.70957,
328,Akonolinga,12.25,3.76667,
329,Akora,72.12561,34.00337,
330,Akot,77.0588,21.0963,
331,Akouda,10.5653,35.8691,
332,Akoupe,-3.88759,6.38423,
333,Akron,-81.51901,41.08144,
334,Aksaray,34.02537,38.37255,
335,Aksay,39.86675,47.25838,
336,Aksehir,31.41639,38.3575,
337,Aksu,80.27921,41.18418,
338,Aksu,76.92748,52.04023,
339,Aktau,51.16667,43.65,
340,Aku,7.31826,6.70902,
341,Akune,130.2,32.01667,
342,Akure,5.19312,7.25256,
343,Akureyri,-18.0878,65.68353,
344,Akwanga,8.40655,8.91077,
345,Akwatia,-0.80876,6.04024,
346,Akyazi,30.62222,40.685,
347,Al Abyar,20.59653,32.19,
348,Al Ahmadi,48.08389,29.07694,
349,Al Ain,55.76056,24.19167,
350,Al Bab,37.5157,36.37051,
351,Al Badari,31.41554,26.99257,
352,Al Bahah,41.46767,20.01288,
353,Al Bajur,31.03681,30.43026,
354,Al Balyana,32.00347,26.23568,
355,Al Basrah al Qadimah,47.81507,30.50316,
356,Al Battaliyah,49.63333,25.43333,
357,Al Bawiti,28.86591,28.34919,
358,Al Bayda,45.57272,13.98523,
359,Al Birah,35.21645,31.91001,
360,Al Bukayriyah,43.65933,26.14422,
361,Al Burayj,34.40306,31.43944,
362,Al Buraymi,55.79312,24.25088,
363,Al Fahahil,48.13028,29.0825,
364,Al Fallujah,43.78599,33.34913,
365,Al Farwaniyah,47.95861,29.2775,
366,Al Fashn,30.89948,28.82431,
367,Al Faw,48.47309,29.97421,
368,Al Fayyum,30.8418,29.30995,
369,Al Fintas,48.12111,29.17389,
370,Al Fqih Ben Calah,-6.68771,32.50213,
371,Al Fujayrah,56.34141,25.11641,
372,Al Hamul,31.14766,31.31146,
373,Al Harak,36.30994,32.74932,
374,Al Harithah,47.76114,30.58481,
375,Al Hasaheisa,33.29836,14.75264,
376,Al Hasakah,40.74772,36.50237,
377,Al Hawamidiyah,31.25,29.9,
378,Al Hawatah,34.63333,13.41667,
379,Al Hayy,46.04345,32.17419,
380,Al Hazm,44.77692,16.16406,
381,Al Hilaliyya,33.234,14.9398,
382,Al Hillah,44.41963,32.46367,
383,Al Hindiyah,44.22765,32.54671,
384,Al Hoceima,-3.93723,35.25165,
385,Al Hudaydah,42.95452,14.79781,
386,Al Hufuf,49.56532,25.36457,
387,Al Ibrahimiyah,31.56299,30.71877,
388,Al Jadid,14.4,27.05,
389,Al Jamaliyah,31.86518,31.18086,
390,Al Jawf,23.29093,24.1989,
391,Al Jubayhah,35.89802,32.01071,
392,Al Jubayl,49.65825,27.01122,
393,Al Jumum,39.69806,21.61694,
394,Al Khaburah,57.09838,23.98864,
395,Al Khafji,48.49132,28.43905,
396,Al Khankah,31.36812,30.21035,
397,Al Kharijah,30.54635,25.45141,
398,Al Khawr,51.50583,25.68389,
399,Al Khums,14.26191,32.64861,
400,Al Kiswah,36.2419,33.3581,
401,Al Kut,45.81817,32.5128,
402,Al Mahallah al Kubra,31.1669,30.97063,
403,Al Mahbulah,48.13028,29.145,
404,Al Manaqil,32.9891,14.2459,
405,Al Manqaf,48.13278,29.09611,
406,Al Manshah,31.8035,26.47686,
407,Al Mansurah,31.38069,31.03637,
408,Al Manzilah,31.937,31.15815,
409,Al Marj,20.83174,32.48798,
410,Al Marsa,10.32466,36.87818,
411,Al Matariyah,32.03108,31.18287,
412,Al Mawsil al Jadidah,43.10555,36.33271,
413,Al Mayadin,40.45154,35.01982,
414,Al Mijlad,27.73333,11.03333,
415,Al Minya,30.7503,28.10988,
416,Al Miqdadiyah,44.93694,33.97861,
417,Al Mishkhab,44.4893,31.80437,
418,Al Mithnab,44.22228,25.86012,
419,Al Mubarraz,49.58083,25.41,
420,Al Muharraq,50.61194,26.25722,
421,Al Mukalla,49.12424,14.54248,
422,Al Munayzilah,49.66667,25.38333,
423,Al Musayyib,44.29005,32.77872,
424,Al Qadarif,35.38344,14.03493,
425,Al Qanatir al Khayriyah,31.13703,30.19327,
426,Al Qanayat,31.46099,30.6188,
427,Al Qararah,34.34085,31.37389,
428,Al Qaryatayn,37.24066,34.22956,
429,Al Qatif,50.02452,26.5208,
430,Al Qitena,32.3668,14.8648,
431,Al Qubbah,22.24237,32.76163,
432,Al Qunaytirah,35.82461,33.12595,
433,Al Qurayn,31.73514,30.61618,
434,Al Qusayr,34.27793,26.10426,
435,Al Qusayr,36.58029,34.5078,
436,Al Qusiyah,30.81841,27.4402,
437,Al Qutayfah,36.60071,33.73848,
438,Al Wajh,36.45249,26.24551,
439,Al Wakrah,51.60337,25.17151,
440,Al Wasitah,31.20556,29.33778,
441,Al Yamun,35.23011,32.48563,
442,Al-`Ula,37.92316,26.60853,
443,Al-Hamdaniya,43.37758,36.27093,
444,Alabaster,-86.81638,33.24428,
445,Alabel,125.29048,6.10179,
446,Alaca,34.8425,40.16833,
447,Alafaya,-81.2114,28.5641,
448,Alaghsas,8.0168,17.0187,
449,Alagir,44.22222,43.04222,
450,Alagoa Grande,-35.63,-7.15833,
451,Alagoinhas,-38.41917,-12.13556,
452,Alajuela,-84.21163,10.01625,
453,Alamar,-82.27837,23.15794,
454,Alameda,-122.24164,37.76521,
455,Alaminos,121.24649,14.06391,
456,Alamo,-97.67554,20.91154,
457,Alamo,-98.12306,26.18369,
458,Alamogordo,-105.96027,32.89953,
459,Aland,76.56854,17.56425,
460,Alandi,73.89868,18.67756,
461,Alandur,80.20611,13.0025,
462,Alangayam,78.75207,12.62235,
463,Alangulam,77.49937,8.86404,
464,Alanya,31.99982,36.54375,
465,Alapayevsk,61.69627,57.85158,
466,Alapli,31.38514,41.1814,
467,Alaquas,-0.461,39.45568,
468,Alarobia,47.73333,-18.96667,
469,Alasehir,28.51718,38.35083,
470,Alba,8.0347,44.6999,
471,Alba Iulia,23.58333,46.06667,
472,Albacete,-1.85643,38.99424,
473,Albal,-0.41667,39.4,
474,Albano Laziale,12.659,41.72748,
475,Albany,117.86595,-35.0031,
476,Albany,-84.15574,31.57851,
477,Albany,-73.75623,42.65258,
478,Albany,-122.29775,37.88687,
479,Albany,-123.10593,44.63651,
480,Albardon,-68.52556,-31.43722,
481,Albemarle,-80.20006,35.35014,
482,Albenga,8.21829,44.04997,
483,Albert Lea,-93.36827,43.64801,
484,Albertslund,12.36381,55.65691,
485,Albertville,6.39061,45.67452,
486,Albertville,-86.20878,34.26783,
487,Albi,2.148,43.9298,
488,Albignasego,11.86781,45.34705,
